quantile,value,pert_id,n_batches_pert,cell_line
0.2,3.4032440132009025,Daphnetin,2,sciplex_MCF7
0.5,4.353947276560502,Daphnetin,2,sciplex_MCF7
0.8,5.070887956055279,Daphnetin,2,sciplex_MCF7
0.9,5.147113488079133,Daphnetin,2,sciplex_MCF7
0.99,5.367174797068891,Daphnetin,2,sciplex_MCF7
0.995,5.380973072572294,Daphnetin,2,sciplex_MCF7
0.1,2.771323073793797,Dasatinib,2,sciplex_MCF7
0.2,2.848412958791685,Dasatinib,2,sciplex_MCF7
0.5,22.31025510209185,Dasatinib,2,sciplex_MCF7
0.8,23.409534213920796,Dasatinib,2,sciplex_MCF7
0.9,23.64104476895167,Dasatinib,2,sciplex_MCF7
0.99,23.91804241402754,Dasatinib,2,sciplex_MCF7
0.995,23.988202613823148,Dasatinib,2,sciplex_MCF7
0.1,3.2796838695139052,Decitabine,2,sciplex_MCF7
0.2,3.368988407738112,Decitabine,2,sciplex_MCF7
0.5,4.691575823697354,Decitabine,2,sciplex_MCF7
0.8,4.876241894520808,Decitabine,2,sciplex_MCF7
0.9,4.958911644256306,Decitabine,2,sciplex_MCF7
0.99,5.247661448914234,Decitabine,2,sciplex_MCF7
0.995,5.292905404433047,Decitabine,2,sciplex_MCF7
0.1,3.4582815525073305,Disulfiram ,2,sciplex_MCF7
0.2,3.537475735669801,Disulfiram ,2,sciplex_MCF7
0.5,4.691245743822588,Disulfiram ,2,sciplex_MCF7
0.8,5.2299572895477855,Disulfiram ,2,sciplex_MCF7
0.9,5.367382008323601,Disulfiram ,2,sciplex_MCF7
0.99,5.621681731974429,Disulfiram ,2,sciplex_MCF7
0.995,5.658245964472371,Disulfiram ,2,sciplex_MCF7
0.1,2.9722148525770025,Divalproex Sodium,2,sciplex_MCF7
0.2,3.0319326655496313,Divalproex Sodium,2,sciplex_MCF7
0.5,3.7422585023641575,Divalproex Sodium,2,sciplex_MCF7
0.8,4.369422766781822,Divalproex Sodium,2,sciplex_MCF7
0.9,4.441842080203564,Divalproex Sodium,2,sciplex_MCF7
0.99,4.578875453812125,Divalproex Sodium,2,sciplex_MCF7
