cell_line,fold,roc_auc,average_precision,f1_score,recall,precision,primary_metric,quantile
K-562,1,0.8602986335754395,0.5714708566665649,0.6699345111846924,0.8478886485099792,0.611570417881012,,0.1
Hep-G2,4,0.7984603047370911,0.5750634074211121,0.6627710461616516,0.8452069759368896,0.6091151833534241,,0.1
Hep-G2,0,0.7945319414138794,0.5563043355941772,0.6421133875846863,0.8463783264160156,0.5865060687065125,,0.1
hTERT-RPE1,1,0.8102635145187378,0.568627655506134,0.6598193645477295,0.8333816528320312,0.6063076257705688,,0.1
Jurkat,2,0.7938506603240967,0.518295407295227,0.5986212491989136,0.8406584858894348,0.5435697436332703,,0.1
Jurkat,1,0.7876272201538086,0.523547887802124,0.6041181087493896,0.8366568088531494,0.5496690273284912,,0.1
K-562,3,0.8556782603263855,0.5774952173233032,0.676797091960907,0.8489049077033997,0.6174044609069824,,0.1
Jurkat,0,0.788855791091919,0.5138686299324036,0.590602695941925,0.8438372015953064,0.5360602736473083,,0.1
K-562,0,0.8515601754188538,0.5523891448974609,0.6491650938987732,0.8477169871330261,0.5884832143783569,,0.1
Jurkat,3,0.8150325417518616,0.5239809155464172,0.609319269657135,0.8412016034126282,0.5514137744903564,,0.1
Hep-G2,1,0.7980479001998901,0.5637343525886536,0.6508527994155884,0.8407775163650513,0.5977995991706848,,0.1
K-562,4,0.8605770468711853,0.5767579078674316,0.6768367290496826,0.8513595461845398,0.617013156414032,,0.1
K-562,2,0.8584746718406677,0.5735381245613098,0.6725775599479675,0.8428763747215271,0.6151036620140076,,0.1
hTERT-RPE1,3,0.8295064568519592,0.562099277973175,0.6562732458114624,0.8321797251701355,0.600651741027832,,0.1
hTERT-RPE1,4,0.8126229643821716,0.5734793543815613,0.66437828540802,0.8355805277824402,0.6112654209136963,,0.1
Jurkat,4,0.788770318031311,0.5226885080337524,0.6018657088279724,0.8402438759803772,0.5475307106971741,,0.1
Hep-G2,3,0.8028498291969299,0.5613093972206116,0.648589551448822,0.8423318266868591,0.5940784215927124,,0.1
hTERT-RPE1,0,0.8206538558006287,0.5584896802902222,0.650614321231842,0.8343125581741333,0.5948526263237,,0.1
Hep-G2,2,0.79769366979599,0.561761200428009,0.6494656205177307,0.8384727239608765,0.5958772301673889,,0.1
hTERT-RPE1,2,0.8283402323722839,0.5755621790885925,0.6706641316413879,0.835731029510498,0.6157783269882202,,0.1
Jurkat,0,0.789635956287384,0.514229953289032,0.5908743739128113,0.8448479175567627,0.5363443493843079,,0.2
Jurkat,1,0.7882527112960815,0.524526059627533,0.6052248477935791,0.8372863531112671,0.550561249256134,,0.2
Hep-G2,4,0.7995345592498779,0.5752975940704346,0.6631672978401184,0.8475291728973389,0.6094058752059937,,0.2
Hep-G2,0,0.7964553236961365,0.5572187304496765,0.642514169216156,0.8488722443580627,0.5874708294868469,,0.2
